error, control
-123,-184
-124,-186
-127,-190
-129,-193
-129,-193
-130,-195
-129,-193
-133,-199
-134,-201
-135,-202
-136,-204
-136,-204
-137,-205
-137,-205
-137,-205
-137,-205
-137,-205
-139,-208
-138,-207
-138,-207
-138,-207
-139,-208
-139,-208
-140,-210
-148,-222
-148,-222
-149,-223
-149,-223
-150,-225
-151,-226
-151,-226
-152,-228
-154,-231
-153,-229
-154,-231
-156,-234
-156,-234
-156,-234
-157,-235
-158,-237
-160,-240
-162,-243
-162,-243
-164,-246
-165,-247
-167,-250
-167,-250
-167,-250
-169,-253
-170,-255
-172,-258
-174,-261
-174,-261
-177,-265
-177,-265
-178,-267
-180,-270
-182,-273
-185,-277
-185,-277
-187,-280
-189,-283
-189,-283
-190,-285
-193,-289
-194,-291
-198,-297
-198,-297
-199,-298
-201,-301
-201,-301
-202,-303
-203,-304
-205,-307
-205,-307
-206,-309
-208,-312
-210,-315
-211,-316
-213,-319
-214,-321
-216,-324
-217,-325
-218,-327
-221,-331
-220,-330
-221,-331
-224,-336
-224,-336
-226,-339
-226,-339
-230,-345
-229,-343
-232,-348
-234,-351
-235,-352
-237,-355
-239,-358
-239,-358
-241,-361
-244,-366
-243,-364
-246,-369
-248,-372
-248,-372
-251,-376
-252,-378
-252,-378
-253,-379
-254,-381
-256,-384
-256,-384
-258,-387
-260,-390
-260,-390
-260,-390
-260,-390
-263,-394
-263,-394
-265,-397
-266,-399
-268,-402
-269,-403
-270,-405
-272,-408
-273,-409
-272,-408
-273,-409
-275,-412
-275,-412
-278,-417
-276,-414
-276,-414
-277,-415
-277,-415
-278,-417
-275,-412
-277,-415
-277,-415
-278,-417
-277,-415
-277,-415
-277,-415
-276,-414
-277,-415
-277,-415
-278,-417
-279,-418
-278,-417
-279,-418
-281,-421
-281,-421
-282,-423
-284,-426
-285,-427
-286,-429
-288,-432
-289,-433
-292,-438
-295,-442
-296,-444
-298,-447
-297,-445
-301,-451
-303,-454
-303,-454
-308,-462
-310,-465
-313,-469
-315,-472
-317,-475
-320,-480
-322,-483
-324,-486
-327,-490
-329,-493
-332,-498
-333,-499
-336,-504
-337,-505
-340,-510
-342,-513
-344,-516
-348,-522
-350,-525
-352,-528
-354,-531
-357,-535
-360,-540
-362,-543
-366,-549
-367,-550
-371,-556
-374,-561
-375,-562
-381,-571
-383,-574
-388,-582
-389,-583
-391,-586
-396,-594
-399,-598
-404,-606
-408,-612
-411,-616
-415,-622
-420,-630
-422,-633
-428,-642
-432,-648
-436,-654
-445,-667
-447,-670
-451,-676
-455,-682
-461,-691
-464,-696
-471,-706
-474,-711
-477,-715
-482,-723
-486,-729
-489,-733
-490,-735
-492,-738
-494,-741
-495,-742
-497,-745
-497,-745
-489,-733
-489,-733
-490,-735
-488,-732
-489,-733
-480,-720
-481,-721
-481,-721
-474,-711
-473,-709
-474,-711
-467,-700
-466,-699
-460,-690
-459,-688
-459,-688
-452,-678
-452,-678
-444,-666
-438,-657
-438,-657
-431,-646
-424,-636
-416,-624
-408,-612
-402,-603
-395,-592
-387,-580
-380,-570
-372,-558
-366,-549
-359,-538
-350,-525
-344,-516
-337,-505
-323,-484
-315,-472
-308,-462
-294,-441
-287,-430
-272,-408
-265,-397
-257,-385
-243,-364
-230,-345
-221,-331
-207,-310
-199,-298
-186,-279
-178,-267
-164,-246
-150,-225
-135,-202
-120,-180
-114,-171
-99,-148
-85,-127
-77,-115
-63,-94
-49,-73
-33,-49
-21,-31
-14,-21
2,3
-5,-7
-13,-19
-5,-7
-5,-7
-5,-7
-6,-9
2,3
2,3
9,13
9,13
9,13
9,13
2,3
9,13
1,1
2,3
2,3
-5,-7
2,3
2,3
2,3
2,3
2,3
2,3
2,3
10,15
8,12
8,12
9,13
10,15
9,13
9,13
